id,q1,q2,q3,q4,q5,q6,q7,total
170107574,0.75,1,1.24,0,2,1.50,2,8.49
180019066,1,1,1.50,1,2,1.50,2,10.00
180029240,1,1,1.50,1,2,1.50,1.50,9.50
180097181,1,1,1.50,1,0,0,,4.50
180098683,1,1,1.50,1,2,1.50,2,10.00
180100271,1,1,1.50,1,2,1.50,2,10.00
180102761,1,0.83,1.50,1,2,1.50,2,9.83
180113585,0,0.83,0,0.33,2,,,3.16
180125974,1,1,1.50,1,2,1.50,2,10.00
180127969,1,1,1.50,1,2,1.50,2,10.00
180144979,1,1,1.50,1,2,1.50,2,10.00
190029692,1,1,1.50,1,2,1.50,2,10.00
190036427,1,1,1.50,1,2,1.50,2,10.00
190042303,1,1,1.50,1,2,1.50,2,10.00
190084570,1,1,1.50,0.67,2,1.50,2,9.67
190088168,1,0.83,1.50,1,2,1.50,2,9.83
190093421,1,1,1.50,1,2,1.50,2,10.00
190093625,1,1,1.50,1,2,1.50,1.50,9.50
190104821,1,1,1.50,1,2,1.50,2,10.00
190107243,1,1,1.50,1,2,1.50,2,10.00
190115548,1,1,1.50,1,2,1.50,2,10.00
190118555,1,1,1.50,1,2,1.50,2,10.00
190129221,1,1,1.50,1,2,1.50,2,10.00
200020323,1,1,1.50,1,0,0,2,6.50
200020625,1,1,1.50,1,2,1.50,2,10.00
200024868,1,1,1.50,1,2,1.50,2,10.00
200028154,1,1,1.50,1,2,1.50,2,10.00
200044559,1,1,1.50,0.67,2,1.50,0.50,8.17
200054333,1,1,1.50,1,2,1.50,2,10.00
200061216,1,1,1.50,1,2,1.50,2,10.00
202015901,1,1,1.50,1,2,1.50,2,10.00
202016328,1,1,1.50,1,2,1.50,2,10.00
202017503,1,1,1.50,1,2,1.50,2,10.00
202017521,1,1,1.50,1,2,1.50,2,10.00
202017700,1,1,1.50,1,2,1.50,2,10.00
202023968,1,1,1.50,1,0,1.50,2,8.00
202028973,1,1,1.50,1,2,1.50,2,10.00
202042927,1,1,1.50,1,2,1.50,2,10.00
202045965,1,1,1.50,1,2,1.50,2,10.00
202046102,1,0.83,1.24,1,2,1.50,2,9.57
202046229,1,1,0.50,1,2,1.50,2,9.00
202063201,1,1,1.50,0.67,2,1.50,2,9.67
211029361,1,1,1.50,1,2,1.50,2,10.00
211029497,1,0.83,1.50,1,2,1.50,2,9.83
211030658,1,1,1.50,1,2,1.50,2,10.00
211030961,1,1,1.50,0.67,2,1.50,1.50,9.17
211031628,1,0.83,1.50,1,2,1.50,2,9.83
211039312,1,1,1.50,1,2,1.50,2,10.00
211039546,0,0.83,0,0,2,1.50,2,6.33
211039573,1,1,1.50,1,2,1.50,2,10.00
211039671,1,1,1.50,1,2,1.50,2,10.00
211041080,1,0.83,1.50,1,1.68,0,0.50,6.51
211042327,0.75,1,1.50,1,2,1.50,2,9.75
211045113,0.75,1,1.50,1,2,1.50,2,9.75
211061331,1,1,1.50,1,2,1.50,2,10.00
211061574,1,1,1.50,1,2,1.50,2,10.00
211061897,1,1,1.24,0,2,1.50,2,8.74
211062016,1,0.83,1.50,0.67,2,1.50,2,9.50
211062339,1,1,1.50,1,2,1.50,2,10.00
211062910,1,1,1.50,1,2,1.50,2,10.00
212005453,1,1,1.50,1,2,1.50,2,10.00
221008267,1,1,1.50,1,2,1.50,2,10.00
221008294,0.75,1,1.50,1,2,1.50,2,9.75
221008310,1,1,1.50,1,2,1.50,2,10.00
221022014,0.25,0.67,1.50,0.33,2,1.50,2,8.25
221022266,1,1,1.50,1,2,1.50,2,10.00
221022696,1,1,1.50,1,2,1.50,2,10.00
221029249,1,1,1.50,1,2,1.50,2,10.00
221037465,1,1,1.50,1,2,1.50,2,10.00
222006383,1,1,1.50,1,2,1.50,2,10.00
222015112,1,1,1.50,1,2,1.50,1.50,9.50
222024283,0.75,0.33,1.24,1,2,1.50,2,8.82
222037737,1,1,1.50,1,2,1.50,2,10.00
231011785,1,1,1.50,1,2,0,2,8.50
231026474,1,1,1.50,1,2,1.50,2,10.00
231026625,1,1,1.50,1,2,1.50,2,10.00
231026975,1,1,1.50,1,2,1.50,2,10.00
231032121,1,1,1.50,1,0,0,2,6.50
231035428,1,1,1.50,1,2,1.50,2,10.00
