id,q1,q2,total
170107574,5,0,5
180019066,0,5,5
180097181,0,,0
180098683,5,5,10
180102761,5,0,5
180113585,5,5,10
180125974,5,5,10
180127969,0,0,0
180144979,5,5,10
190029692,5,5,10
190042303,0,0,0
190084570,0,0,0
190088168,5,5,10
190093421,5,0,5
190093625,5,5,10
190104821,5,5,10
190107243,5,5,10
190115548,5,5,10
190118555,5,5,10
190129221,5,5,10
200024868,5,5,10
200028154,5,5,10
200036351,5,5,10
200044559,5,5,10
200054333,5,5,10
200061216,5,5,10
202015901,0,0,0
202016328,5,5,10
202017503,4.69,0,4.69
202017521,0,4.29,4.29
202017700,5,0,5
202028973,5,5,10
202045965,5,0,5
202046102,5,5,10
202046229,5,5,10
202063201,5,5,10
211029361,0,5,5
211029497,5,0,5
211030658,5,5,10
211030961,5,5,10
211031074,0,5,5
211031628,5,5,10
211039312,5,0,5
211039546,0,5,5
211039573,5,5,10
211039671,5,5,10
211039680,5,5,10
211041080,5,5,10
211042327,0,0,0
211045113,5,5,10
211061331,5,5,10
211061897,0,0,0
211062016,5,5,10
211062339,5,5,10
211062910,5,5,10
212005453,0,5,5
221008310,0,4.29,4.29
221022014,5,5,10
221022266,5,5,10
221022696,5,5,10
221034973,4.69,4.29,8.98
221037465,0,0,0
222006383,5,5,10
222015112,5,5,10
222024283,5,5,10
222037737,5,5,10
231011785,5,5,10
231026474,5,5,10
231026625,5,5,10
231026975,5,5,10
231032121,0,5,5
231035428,5,5,10
