id,fn,lib,lib2,lst,total
180098683,2.50,2.50,2.50,2.50,10.00
180102761,2.50,2.50,2.50,2.50,10.00
180113585,2.50,2.50,2.50,2.50,10.00
180127969,2.50,2.50,2.50,2.50,10.00
180144979,2.50,2.50,2.50,2.50,10.00
190029692,2.50,2.50,2.50,2.50,10.00
190042303,2.50,2.50,2.50,2.50,10.00
190084570,2.50,2.50,2.50,2.50,10.00
190088168,2.50,2.50,2.50,2.50,10.00
190115548,2.50,2.50,2.50,2.50,10.00
200020323,2.50,2.50,2.50,2.50,10.00
200028154,2.50,2.50,2.50,2.50,10.00
200036351,2.50,2.50,2.50,2.50,10.00
202015901,1,0.25,0,0.32,1.57
202017503,2.50,2.50,2.50,2.50,10.00
202045965,1,0.25,0,0.32,1.57
202046102,2.50,2.50,2.50,2.50,10.00
202046229,2.50,2.50,2.50,2.50,10.00
202063201,2.50,2.50,2.50,2.50,10.00
211029361,2.50,2.50,2.50,2.50,10.00
211029497,2.50,2.50,2.50,2.50,10.00
211030658,2.50,2.50,2.50,2.50,10.00
211030961,2.50,2.50,2.50,2.50,10.00
211031628,2.50,2.50,2.50,2.50,10.00
211039312,2.50,2.50,2.50,2.50,10.00
211039546,2.50,1.70,0.82,2.50,7.52
211039573,2.50,2.50,2.50,2.50,10.00
211039671,2.50,2.50,2.50,2.50,10.00
211039680,2.50,2.50,2.50,2.50,10.00
211041080,1,0.25,0,0.32,1.57
211045113,2.50,2.50,2.50,2.50,10.00
211061574,2.50,2.50,2.50,2.50,10.00
211062910,2.50,2.50,2.50,2.50,10.00
212005453,2.50,2.50,2.50,2.50,10.00
221008264,2.50,2.50,2.50,2.50,10.00
221008294,1,0.25,0,0.32,1.57
221022014,2.50,2.50,2.50,2.50,10.00
221022266,2.50,2.50,2.50,2.50,10.00
221034973,2.50,2.50,2.50,2.50,10.00
222006383,2.50,2.50,2.50,2.50,10.00
222024283,2.50,2.50,2.50,2.50,10.00
231011785,2.50,2.50,2.50,2.50,10.00
231026474,2.50,2.50,2.50,2.50,10.00
231026975,2.50,2.50,2.50,2.50,10.00
