id,q1,q2,q3,q4,q5,total
180097181,2,2,2,2,2,10
180100271,2,2,2,2,2,10
180113585,2,2,2,2,2,10
180127969,2,2,2,2,2,10
180144979,2,2,2,2,2,10
190036427,2,2,2,2,2,10
190036761,1.33,1.33,1.33,1.33,1.33,6.65
190088168,1.33,1.33,1.33,1.33,1.33,6.65
190093421,2,2,2,2,2,10
190104821,2,2,2,2,2,10
190115548,2,2,2,2,2,10
200020323,0,0,0,0,0,0
200020625,2,2,2,2,2,10
200036351,0.33,0.33,0.33,0.33,0.33,1.65
200044559,2,2,2,2,2,10
200061216,2,2,2,2,2,10
202028973,0,0,0,0,0,0
202045965,2,2,2,2,2,10
202046102,2,2,2,2,2,10
202046229,2,2,2,2,2,10
202063201,2,2,2,2,2,10
211029361,2,2,2,2,2,10
211029497,2,2,2,2,2,10
211030961,2,2,2,2,2,10
211039546,2,2,2,2,2,10
211039573,2,2,2,2,2,10
211039671,2,2,2,2,2,10
211039680,2,2,2,2,2,10
211041080,2,2,2,2,2,10
211045113,2,2,2,2,2,10
211061331,2,2,2,2,2,10
211061574,2,2,2,2,2,10
211062339,0.67,0.67,0.67,0.67,0.67,3.35
211062910,2,2,2,2,2,10
212005453,2,2,2,2,2,10
221008294,2,2,2,2,2,10
221008310,2,2,2,2,2,10
221022014,2,2,2,2,2,10
221022266,2,2,2,2,2,10
221034973,2,2,2,2,2,10
221037465,0,0,0,0,0,0
222024283,2,2,2,2,2,10
222037737,2,2,2,2,2,10
231026474,0.67,0.67,0.67,0.67,0.67,3.35
231026625,2,2,2,2,2,10
231026975,2,2,2,2,2,10
231032121,1.33,1.33,1.33,1.33,1.33,6.65
231035428,2,2,2,2,2,10
